"","x"
"120","https://fbref.com/en/matches/dc654f58/Defensa-y-Just-Independiente-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"121","https://fbref.com/en/matches/bef1e759/Argentinos-Jun-Boca-Juniors-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"122","https://fbref.com/en/matches/fcb1513c/Rosario-Cent-Newells-OB-July-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"123","https://fbref.com/en/matches/fdecbe6b/Talleres-Banfield-July-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"124","https://fbref.com/en/matches/815f74e5/Lanus-Velez-Sarsf-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"125","https://fbref.com/en/matches/8847cdb2/CA-Huracan-Godoy-Cruz-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"126","https://fbref.com/en/matches/157ab5a5/River-Plate-Gimnasia-ELP-July-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"127","https://fbref.com/en/matches/cfb46888/Sarmiento-Colon-July-23-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"128","https://fbref.com/en/matches/b4efc9be/CC-Cordoba-Racing-Club-July-23-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"129","https://fbref.com/en/matches/a5e6d510/Independiente-Tucuman-July-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"130","https://fbref.com/en/matches/ca5d399b/Tigre-Platense-July-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"131","https://fbref.com/en/matches/f864e2f5/Aldosivi-River-Plate-July-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"132","https://fbref.com/en/matches/fb80e38c/Gimnasia-ELP-Lanus-July-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"133","https://fbref.com/en/matches/9cd224e7/Boca-Juniors-Estudiantes-July-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
